Problema,Solver,Status,Tempo_Segundos,Valor_Objetivo,F_Star,Gap,Dual_Infeasibility,Primal_Infeasibility,Iteracoes,Timestamp
ex2_1_1,Ipopt,LOCALLY_SOLVED,0.003492,-17.00000214045563,-17.0,1.1891420174473903e-7,-167.00000260030922,NaN,7,2026-05-23T06:18:40.051
ex2_1_10,Ipopt,LOCALLY_SOLVED,0.011038,49318.01003319735,49318.018,1.6153611664895204e-7,-676103.1422080005,NaN,21,2026-05-23T06:18:40.152
ex2_1_2,Ipopt,LOCALLY_SOLVED,0.0047598,-213.00000345955095,-213.0,1.6166125949843193e-8,-214.5000001387761,NaN,7,2026-05-23T06:18:40.184
ex2_1_3,Ipopt,LOCALLY_SOLVED,0.0036049,-14.999998907803691,-15.0,6.826226928158263e-8,-35.00000017539179,NaN,6,2026-05-23T06:18:40.240
ex2_1_4,Ipopt,LOCALLY_SOLVED,0.0032186,-10.999999669538608,-11.0,2.753844929870297e-8,-11.000000454495686,NaN,7,2026-05-23T06:18:40.480
ex2_1_5,Ipopt,LOCALLY_SOLVED,0.0044395,64.42027498830302,-268.0146,1.235750308675823,71.00945486245735,NaN,11,2026-05-23T06:18:40.559
ex2_1_6,Ipopt,LOCALLY_SOLVED,0.0033306,-39.00000435090808,-39.0,1.0877270195663868e-7,-389.00000630759786,NaN,7,2026-05-23T06:18:40.592
ex2_1_7,Ipopt,LOCALLY_SOLVED,0.0065554,1.1799393678462222e-6,-4150.4101,0.9997591182764476,-0.03240237575747557,NaN,17,2026-05-23T06:18:40.668
ex2_1_8,Ipopt,LOCALLY_SOLVED,0.009103,15638.999918557325,15639.0,5.207332151839534e-9,-3062.0000693856855,NaN,21,2026-05-23T06:18:40.729
ex2_1_9,Ipopt,LOCALLY_SOLVED,0.0030313,-0.3749994820129635,-0.375,3.767178447169137e-7,-0.7499998456159358,NaN,6,2026-05-23T06:18:40.755
ex3_1_1,Ipopt,LOCALLY_SOLVED,0.0038863,7049.2479068520925,7049.2083,5.61782721968937e-6,-491.0114028669976,NaN,8,2026-05-23T06:18:40.797
ex3_1_2,Ipopt,LOCALLY_SOLVED,0.0036475,-30665.538862787453,-30665.54,3.7083171045745795e-8,-29419.852829627314,NaN,9,2026-05-23T06:18:40.822
ex3_1_3,Ipopt,LOCALLY_SOLVED,0.0042183,-310.00000892400703,-310.0,2.8694556378725756e-8,-948.0364383486742,NaN,10,2026-05-23T06:18:40.855
ex3_1_4,Ipopt,LOCALLY_SOLVED,0.0034109,-3.999999782280297,-4.0,4.354394063099676e-8,-4.4999991555557335,NaN,6,2026-05-23T06:18:40.876
ex4_1_1,Ipopt,LOCALLY_SOLVED,0.0054307,-0.5199780610800272,-7.4873,0.8209114723080334,-5.583801782600076e-8,NaN,17,2026-05-23T06:18:40.890
ex4_1_2,Ipopt,LOCALLY_SOLVED,0.0036049,-663.5000966104999,-663.5001,5.100827042343808e-9,8.971642548754689e-7,NaN,8,2026-05-23T06:18:40.912
ex4_1_3,Ipopt,LOCALLY_SOLVED,0.0039815,-443.67170474112413,-443.6717,1.0662077537085613e-8,-1.037007812322426e-7,NaN,5,2026-05-23T06:18:40.925
ex4_1_4,Ipopt,ERRO: LoadError,300.0,NaN,0.0,NaN,NaN,NaN,0,2026-05-23T06:18:40.927
ex4_1_5,Ipopt,LOCALLY_SOLVED,0.0026009,-3.5075103138062616e-14,0.0,3.5075103138062616e-14,-1.8181825015371263e-7,NaN,5,2026-05-23T06:18:41.047
ex4_1_6,Ipopt,LOCALLY_SOLVED,0.0030915,6.999999999999664,7.0,4.196643033083092e-14,-1.7045454189652434e-7,NaN,5,2026-05-23T06:18:41.060
ex4_1_7,Ipopt,LOCALLY_SOLVED,0.0027141,-7.499999999999999,-7.5,1.0449157878825003e-16,-3.7878791364356914e-8,NaN,5,2026-05-23T06:18:41.071
ex4_1_8,Ipopt,LOCALLY_SOLVED,0.0029113,-16.738893184394648,-16.7389,3.8421803792700287e-7,0.0,NaN,5,2026-05-23T06:18:41.091
